epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6259.25,0.86854,0.63497,1.13384,0.94089,0.93574,0.95696,0.69779,1.03968,0.50857,1.19611,0.0005941,0.0005941,0.0005941
43,6407.38,0.86036,0.62628,1.12915,0.95212,0.93715,0.96186,0.70633,1.03286,0.49959,1.1947,0.0005842,0.0005842,0.0005842
44,6561.81,0.86149,0.62426,1.13317,0.94783,0.93716,0.95812,0.70143,1.04482,0.51942,1.19782,0.0005743,0.0005743,0.0005743
45,6714.03,0.84803,0.62761,1.12853,0.95991,0.92717,0.9576,0.69923,1.04214,0.5128,1.20226,0.0005644,0.0005644,0.0005644
46,6861.8,0.85105,0.62264,1.13173,0.95951,0.93007,0.9595,0.70352,1.03158,0.50192,1.20072,0.0005545,0.0005545,0.0005545
47,7017.52,0.84595,0.61426,1.12649,0.95053,0.93083,0.95886,0.70767,1.00989,0.49399,1.18976,0.0005446,0.0005446,0.0005446
48,7165.99,0.83802,0.60251,1.11661,0.94711,0.9372,0.95931,0.70955,1.00276,0.48806,1.18518,0.0005347,0.0005347,0.0005347
49,7311.51,0.82466,0.59157,1.11197,0.95709,0.92454,0.96124,0.71161,0.99759,0.48954,1.18511,0.0005248,0.0005248,0.0005248
50,7461.67,0.82321,0.59608,1.10655,0.9592,0.92534,0.96189,0.71174,1.00088,0.48464,1.18755,0.0005149,0.0005149,0.0005149
51,7606.26,0.81648,0.58686,1.10777,0.95933,0.92261,0.95834,0.71371,1.00057,0.48443,1.18381,0.000505,0.000505,0.000505
52,7753.99,0.81483,0.58081,1.10392,0.96046,0.91895,0.95767,0.71695,0.99378,0.48674,1.18025,0.0004951,0.0004951,0.0004951
53,7896.71,0.81511,0.58045,1.10564,0.93613,0.94131,0.95457,0.70993,1.00422,0.49251,1.18973,0.0004852,0.0004852,0.0004852
54,8038.2,0.80103,0.56906,1.09763,0.94908,0.9259,0.95313,0.71034,1.00378,0.49538,1.19197,0.0004753,0.0004753,0.0004753
55,8183.08,0.79789,0.56807,1.09711,0.94512,0.9328,0.95488,0.71103,1.00397,0.49519,1.1941,0.0004654,0.0004654,0.0004654
56,8333.06,0.7988,0.56315,1.0948,0.95384,0.91515,0.95521,0.71022,0.99422,0.49558,1.18992,0.0004555,0.0004555,0.0004555
57,8482.43,0.79478,0.56108,1.0896,0.9591,0.92448,0.95641,0.7126,0.9868,0.48746,1.18477,0.0004456,0.0004456,0.0004456
58,8628.58,0.78172,0.55152,1.08336,0.95587,0.92667,0.95804,0.71639,0.98261,0.48483,1.18226,0.0004357,0.0004357,0.0004357
59,8769.89,0.78553,0.55311,1.08713,0.95067,0.9269,0.95889,0.71741,0.98295,0.48812,1.18539,0.0004258,0.0004258,0.0004258
60,8909.63,0.78134,0.54716,1.08496,0.9504,0.93088,0.95849,0.7187,0.98222,0.48624,1.18557,0.0004159,0.0004159,0.0004159
61,9052.83,0.76908,0.54226,1.07897,0.9548,0.92859,0.95821,0.71715,0.98365,0.49439,1.18662,0.000406,0.000406,0.000406
62,9196.49,0.77017,0.53928,1.08271,0.94863,0.93709,0.95731,0.71643,0.9849,0.49867,1.18922,0.0003961,0.0003961,0.0003961
63,9339.74,0.76344,0.52824,1.07359,0.94865,0.93839,0.95645,0.71629,0.98228,0.49871,1.18861,0.0003862,0.0003862,0.0003862
64,9484.64,0.76616,0.5341,1.07542,0.94556,0.94274,0.95579,0.71851,0.98215,0.50046,1.18842,0.0003763,0.0003763,0.0003763
65,9632.92,0.75439,0.52507,1.07025,0.94633,0.94003,0.95641,0.72072,0.98103,0.49304,1.18758,0.0003664,0.0003664,0.0003664
66,9790.33,0.74673,0.52466,1.0673,0.94835,0.94242,0.95692,0.72091,0.97947,0.49102,1.18785,0.0003565,0.0003565,0.0003565
67,9947.6,0.74606,0.52073,1.06674,0.94801,0.94123,0.95632,0.72156,0.9763,0.48716,1.18654,0.0003466,0.0003466,0.0003466
68,10121.4,0.73881,0.51934,1.06312,0.94534,0.94016,0.95611,0.72251,0.97527,0.48748,1.18641,0.0003367,0.0003367,0.0003367
69,10291.8,0.74025,0.51068,1.06277,0.94531,0.94122,0.95505,0.72211,0.97273,0.49029,1.18566,0.0003268,0.0003268,0.0003268
70,10462.2,0.73889,0.51602,1.06268,0.94292,0.9373,0.95458,0.72004,0.97421,0.4921,1.18755,0.0003169,0.0003169,0.0003169
71,10634.9,0.73544,0.51063,1.05766,0.9453,0.9389,0.95482,0.72,0.97319,0.49363,1.18709,0.000307,0.000307,0.000307
72,10810.5,0.72635,0.50486,1.05461,0.94491,0.93912,0.95496,0.72057,0.97309,0.49456,1.18719,0.0002971,0.0002971,0.0002971
73,10986,0.7229,0.49491,1.05398,0.94485,0.93916,0.95589,0.72302,0.97095,0.49236,1.1859,0.0002872,0.0002872,0.0002872
74,11152.3,0.72457,0.49879,1.05173,0.94406,0.939,0.95588,0.72357,0.96921,0.48947,1.18535,0.0002773,0.0002773,0.0002773
75,11323.4,0.71793,0.49753,1.05114,0.94664,0.93522,0.95631,0.72317,0.96836,0.48785,1.18547,0.0002674,0.0002674,0.0002674
76,11500.7,0.71702,0.49179,1.05112,0.94883,0.93692,0.9569,0.72481,0.96784,0.4871,1.18592,0.0002575,0.0002575,0.0002575
77,11670.9,0.71446,0.49392,1.04733,0.94664,0.93796,0.95679,0.7251,0.96652,0.48399,1.18484,0.0002476,0.0002476,0.0002476
78,11861.8,0.71096,0.48541,1.04398,0.94884,0.93851,0.9567,0.72556,0.96544,0.48119,1.1842,0.0002377,0.0002377,0.0002377
79,12048.3,0.70512,0.48631,1.04397,0.94977,0.93889,0.95685,0.72427,0.9644,0.47934,1.18383,0.0002278,0.0002278,0.0002278
80,12229.4,0.69386,0.47598,1.03685,0.95132,0.93833,0.95711,0.72435,0.96381,0.47935,1.18379,0.0002179,0.0002179,0.0002179
81,12404.9,0.69673,0.47564,1.04031,0.95128,0.93789,0.95723,0.72466,0.96334,0.47771,1.18434,0.000208,0.000208,0.000208
82,12577.2,0.69275,0.47558,1.04027,0.94913,0.93562,0.95759,0.72569,0.96306,0.47719,1.18454,0.0001981,0.0001981,0.0001981
83,12743.6,0.69182,0.47221,1.03838,0.94674,0.93562,0.95737,0.72643,0.96316,0.47433,1.18485,0.0001882,0.0001882,0.0001882
84,12912.1,0.68302,0.46537,1.03033,0.94624,0.93724,0.95725,0.72605,0.96296,0.4734,1.18456,0.0001783,0.0001783,0.0001783
85,13077.8,0.68005,0.46691,1.03111,0.94635,0.93798,0.9573,0.72611,0.96395,0.47586,1.18557,0.0001684,0.0001684,0.0001684
86,13248.7,0.67572,0.46192,1.02682,0.94576,0.93798,0.95627,0.72578,0.9639,0.47746,1.18628,0.0001585,0.0001585,0.0001585
87,13419.8,0.67274,0.45665,1.02802,0.94554,0.93884,0.95633,0.72667,0.96359,0.47737,1.18677,0.0001486,0.0001486,0.0001486
88,13587,0.6712,0.4556,1.02967,0.94421,0.94025,0.95644,0.72629,0.96295,0.47798,1.18687,0.0001387,0.0001387,0.0001387
89,13746.3,0.66825,0.45488,1.02726,0.95453,0.93159,0.95657,0.72569,0.96289,0.47762,1.18708,0.0001288,0.0001288,0.0001288
90,13904.4,0.67329,0.45647,1.02925,0.95462,0.93234,0.95675,0.72741,0.96294,0.475,1.18752,0.0001189,0.0001189,0.0001189
91,14068.9,0.55984,0.27422,0.96473,0.95535,0.9341,0.95706,0.72708,0.96261,0.47356,1.18745,0.000109,0.000109,0.000109
92,14224.6,0.54418,0.26355,0.95726,0.95539,0.93416,0.95719,0.72671,0.96108,0.46978,1.18616,9.91e-05,9.91e-05,9.91e-05
93,14369.8,0.53679,0.26194,0.95346,0.95515,0.93434,0.95732,0.72716,0.96108,0.47116,1.18616,8.92e-05,8.92e-05,8.92e-05
94,14514.1,0.53029,0.25562,0.94662,0.95441,0.93419,0.95772,0.72762,0.96031,0.47046,1.18615,7.93e-05,7.93e-05,7.93e-05
95,14661.6,0.52461,0.25393,0.94595,0.95525,0.93326,0.9579,0.7276,0.95965,0.46953,1.186,6.94e-05,6.94e-05,6.94e-05
96,14821.9,0.51971,0.25098,0.9425,0.9552,0.93326,0.95788,0.72855,0.95934,0.46884,1.18608,5.95e-05,5.95e-05,5.95e-05
97,14981,0.51167,0.24916,0.93849,0.95547,0.93326,0.95726,0.72822,0.95928,0.46774,1.18635,4.96e-05,4.96e-05,4.96e-05
98,15126.2,0.5078,0.24689,0.93548,0.95631,0.93326,0.95725,0.72898,0.95881,0.46776,1.18655,3.97e-05,3.97e-05,3.97e-05
99,15262.3,0.50481,0.24599,0.93561,0.95736,0.93326,0.95722,0.72947,0.95798,0.46724,1.18647,2.98e-05,2.98e-05,2.98e-05
100,15406,0.50452,0.24371,0.93489,0.95807,0.93293,0.95738,0.72965,0.95741,0.46477,1.18648,1.99e-05,1.99e-05,1.99e-05
